sentence_style;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name.gender;text
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Agrarökonomin;111;f;1;0.33752417794970985;Experten;none;none;none;none;Die Agrarökonomin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;1;0.33752417794970985;Experten;französisch;x;none;none;Die Agrarökonomin liefert dem französischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Bäuerin;111;f;1;0.20864931338389014;Fachkräfte;none;none;none;none;Die Bäuerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;2;0.33752417794970985;Experten;französisch;y;none;none;Die französische Agrarökonomin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Erntehelferin;111;f;1;0.27359260266521623;Helfer;none;none;none;none;Die Erntehelferin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;1;0.33752417794970985;Experten;polnisch;x;none;none;Die Agrarökonomin liefert dem polnischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Landwirtin;111;f;1;0.2848335388409371;Spezialisten;none;none;none;none;Die Landwirtin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;2;0.33752417794970985;Experten;polnisch;y;none;none;Die polnische Agrarökonomin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Imkerin;112;f;1;0.43522438611346315;Fachkräfte;none;none;none;none;Die Imkerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;1;0.33752417794970985;Experten;türkisch;x;none;none;Die Agrarökonomin liefert dem türkischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Hirtin;112;f;1;0.43522438611346315;Fachkräfte;none;none;none;none;Die Hirtin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;2;0.33752417794970985;Experten;türkisch;y;none;none;Die türkische Agrarökonomin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
